Title,Date,DayOfWeek
"Kena Lempar Botol, Satu Pengunjung Jakarta Night Festival Dibawa Ambulans",2015-01-01,Thursday
"Harga BBM Sudah Turun, Tapi Tarif Angkutan Sulit Mengikuti",2015-01-04,Sunday
Pencabutan Subsidi Premium Bisa Bikin Dolar Keok ke Rp 12.000,2015-01-04,Sunday
"Subsidi Premium Dicabut, Ekonom BCA: Market Menyambut Positif",2015-01-04,Sunday
Ini Alasan Mengapa Anak Sebaiknya Tak Diizinkan Punya Gadget di Kamar Tidur,2015-01-06,Tuesday
Waterfront Securities: Profit Taking Berpotensi Berlanjut,2015-01-06,Tuesday
Waterfront Securities: IHSG Cenderung Mix,2015-01-07,Wednesday
"Sudah Bayar, Oknum Kolektor HSBC Menagih Tanpa Etika",2015-01-07,Wednesday
"Yuk Bantu, Anak-anak TPA di Cileungsi Bogor ini Ingin Merasakan Naik Kereta",2015-01-07,Wednesday
Proses KTA BCA yang Tak Kunjung Selesai,2015-01-08,Thursday
Tanggapan BCA untuk Keluhan Bapak Angga,2015-01-08,Thursday
"Tahun Politik, KPK akan Soroti Proses Seluruh Pilkada",2015-01-08,Thursday
Waterfront Securities: Penguatan IHSG Berpotensi Berlanjut,2015-01-08,Thursday
"Transaksi Gagal, Saldo Rekening BritAma Terpotong",2015-01-08,Thursday
Waterfront Securities: IHSG Akan Cenderung Menguat,2015-01-09,Friday
"Pindah Ramah, FirstMedia Persulit Berhenti Berlangganan",2015-01-09,Friday
3 Bandit Pembajak Truk Berisi 540 Sak Semen Diringkus di Tol Cikampek,2015-01-09,Friday
"Mobil Milik Polisi Digelapkan, Seorang Penadah Ditangkap",2015-01-11,Sunday
Saham-saham Sektor Ini Bakal Kinclong di Tahun 2015,2015-01-12,Monday
Waterfront Securities: IHSG Cenderung Mix,2015-01-13,Tuesday
Perusahaan yang Beri Pinjaman Rp 57 M ke Anak Budi Gunawan Sudah Tutup,2015-01-14,Wednesday
"Dapat Kredit Rp 57 M Saat Berusia 19 Tahun, Ini Lini Bisnis Anak Komjen Budi",2015-01-14,Wednesday
"Pinjaman Rp 57 M Dibayar Tunai, Begini Alur Uang ke Rekening Komjen Budi",2015-01-14,Wednesday
Promo Pembelian Sony Bravia di Lazada Mengecewakan,2015-01-14,Wednesday
"Kasus Pajak BCA Jadi Prioritas, Ditargetkan Selesai Tengah Tahun 2015",2015-01-14,Wednesday
Kiwoom Securities: Bursa Dunia Beri Sentimen Positif,2015-01-15,Thursday
Begini Aliran Uang yang Masuk ke Rekening Komjen BG dan Anaknya,2015-01-15,Thursday
"Beroperasi Sejak 2010, Bandar Togel Beromset Miliaran Ditangkap di Tangerang",2015-01-15,Thursday
Bahana Securities: Indeks Cenderung Melemah,2015-01-15,Thursday
IHSG Berpotensi Menguat,2015-01-15,Thursday
"Pengusaha Jadi Korban Perampokan Modus Ban Kempis, Uang Rp 300 Juta Raib",2015-01-15,Thursday
Kaus 'Aku akan Terus Berjuang' untuk Pengobatan si Kecil Rafi,2015-01-19,Monday
Bursa Global Beri Sentimen Positif,2015-01-19,Monday
Waterfront Securities: IHSG Variatif,2015-01-19,Monday
Investor Asing Masih Semangat Jual Saham,2015-01-20,Tuesday
Waterfront Securities: IHSG Diprediksi Mix,2015-01-20,Tuesday
Bursa Regional Bantu IHSG Menguat,2015-01-21,Wednesday
Waterfront Securities: IHSG Diperkirakan Mix,2015-01-21,Wednesday
IHSG Disemangati Rencana Stimulus Bank Sentral Eropa,2015-01-22,Thursday
"Leasing Mulai Lirik Sektor Perikanan, Ini Peluang Bisnisnya",2015-01-22,Thursday
Kartu Pengganti BCA Card Belum Diterima,2015-01-22,Thursday
Basarnas: 6 Jenazah Korban AirAsia Ditemukan Terhimpit Serpihan Pesawat,2015-01-22,Thursday
Menteri Susi Kumpul Bareng dengan Para Pengusaha Leasing,2015-01-22,Thursday
"Demi Gaya Hidup dan Narkoba, Fredy Gelapkan Rp 600 Juta Milik Perusahaan",2015-01-22,Thursday
Waterfront Securities: IHSG Cenderung Menguat,2015-01-22,Thursday
"Tipu Perusahaan Bulu Mata Rp 1,6 Miliar, Sopir Taksi dan 2 WN Nigeria Ditangkap",2015-01-22,Thursday
IHSG Disemangati Stimulus Bank Sentral Eropa,2015-01-23,Friday
Waterfront Securities: IHSG Akan Bergerak Mixed,2015-01-23,Friday
Bakti BCA Donasikan Sarana Pendukung Sekolah di Lampung,2015-01-23,Friday
Ini Dampak Kegaduhan KPK-Polri Buat Investasi di RI,2015-01-24,Saturday
"ATM di Mata Rio Febrian, Bebi Romeo, Tata Zaneta, Bams",2015-01-26,Monday
IHSG Mampu Lanjutkan Penguatan,2015-01-26,Monday
"Gaduh KPK-Polri, Menkeu: Kisruh Politik Harus Bisa Dikelola",2015-01-26,Monday
Waterfront Securities: IHSG Diperkirakan Dipengaruhi Indeks Global,2015-01-26,Monday
Home Theatre Samsung Diskon 74% Hanya dengan BCA KlikPay di Elevenia (Periode 2),2015-01-26,Monday
"Politik RI Masih Gaduh, Ini Komentar Ekonom Bank Inggris",2015-01-27,Tuesday
"Arti Sukses untuk Catherine Lian, Pemimpin Dell Indonesia",2015-01-27,Tuesday
Pemprov DKI Luncurkan Pembayaran Elektronik Parkir Meter,2015-01-29,Thursday
Bayar Parkir Elektronik Bisa Pakai Kartu Apa Saja?,2015-01-29,Thursday
Bayar Parkir di Jakarta Tak Perlu Pakai Uang Tunai,2015-01-29,Thursday
Ahok Uji Coba Parkir Elektronik di Jalan Sabang,2015-01-29,Thursday
Ini Dia Lokasi-lokasi Terminal Parkir Elektronik di Jakarta,2015-01-29,Thursday
Terminal Parkir Elektronik Diluncurkan di Jakarta,2015-01-29,Thursday
Bayar Parkir Elektronik di Jalan Sabang Kini Bisa Pakai BRIZZI,2015-01-29,Thursday
Kiwoom Securities: IHSG Cenderung Negatif,2015-01-29,Thursday
"Pakai Parkir Elekronik, Ahok: Bapak-bapak Enggak Bisa Bohongin Istri Lagi",2015-01-29,Thursday
Polisi Sita Senjata Api dan Narkoba dari 2 Penjahat Pengendara CRV di Depok,2015-01-29,Thursday
"Tak Perlu Pakai Recehan, Begini Praktisnya Bayar Parkir Elektronik",2015-01-29,Thursday
Polisi Periksa Intensif 2 Pria Diduga Perampok yang Tertangkap di Depok,2015-01-30,Friday
Bagaimana Cara Saeful Bisa Main FB di Lapas dan Peras Ibu-ibu Bugil?,2015-01-30,Friday
"Transaksi Lewat m-BCA STK dan SMS BCA Indosat, Hadiah Liburan ke Korea Menanti",2015-01-30,Friday
CMNP Restrukturisasi Utang Anak Usaha Rp 350 Miliar,2015-01-30,Friday
"Ahok: Bank DKI Harus Seperti BCA, ATM di Mana-mana",2015-01-31,Saturday
"Pecat Pegawai Malas, Ahok: Banyak yang Tak Mau Saya Lama Jadi Gubernur",2015-01-31,Saturday
Earphone Sennheiser Cuman Seratus Ribuan Pakai BCA KlikPay di Elevenia!,2015-02-02,Monday
Menabung Dan Belanja Online Dimata Artis Gebyar BCA,2015-02-02,Monday
Waterfront Securities: IHSG Cenderung Mixed,2015-02-03,Tuesday
IHSG Batal Cetak Rekor Tertinggi,2015-02-04,Wednesday
IHSG Siap Mengekor Bursa Asia,2015-02-04,Wednesday
Kiwoom Securities: Naiknya Harga Minyak Dunia Beri Sentimen Positif,2015-02-04,Wednesday
Waterfront Securities: IHSG Berpotensi Menguat,2015-02-04,Wednesday
Waterfront Securities: IHSG Cenderung Mix,2015-02-05,Thursday
"Ekonomi RI Melambat, IHSG Ikut Terpangkas",2015-02-05,Thursday
Sentimen Bursa Saham Global Bisa Menyeret IHSG ke Zona Merah,2015-02-05,Thursday
Ini Penjelasan TransJ Terkait Operasional e-Ticketing di Koridor 4 dan 6,2015-02-05,Thursday
"Tak Mau Ketinggalan, Android One Mito Dibanderol Rp 600 Ribuan",2015-02-05,Thursday
Waterfront Securities: IHSG Diperkirakan Variatif,2015-02-06,Friday
"IHSG Mix, Cenderung Menguat",2015-02-06,Friday
Rayakan Valentine Bersama Tahapan Xpresi BCA,2015-02-06,Friday
"Resmi Dijual di Indonesia, iPhone 6 Paling Murah Rp 10,799 Juta",2015-02-06,Friday
"Geber iPhone 6, Erajaya Andalkan Operator The Big Three",2015-02-06,Friday
"Paket Bundling iPhone 6, Mana Paling Menggiurkan?",2015-02-06,Friday
Bayar Taksi Premium Express Sekarang Bisa Pakai Kartu BCA,2015-02-07,Saturday
"Besok, Hardisk Eksternal Diskon 76% di elevenia!",2015-02-09,Monday
"Kisah Inspiratif Pusat Oleh-oleh Khas Balikpapan, Toko Amplang Sibayak",2015-02-09,Monday
Rayakan Kebahagiaan Miliki Rumah Idaman dengan Program Fix & Cap dari KPR BCA,2015-02-09,Monday
Waterfront Securities: IHSG di Kisaran 5.309-5.377,2015-02-09,Monday
"Idap Caroli Disease, Bayi 11 Bulan Ini Butuh Bantuan untuk Cangkok Hati",2015-02-10,Tuesday
IHSG Berpotensi Menguat,2015-02-11,Wednesday
Waterfront Securities: IHSG Diperkirakan Mix,2015-02-11,Wednesday
Sarang Judi Online Digerebek di Cengkareng,2015-02-12,Thursday
"Sindikat Judi Online Internasional Dibekuk, Dipimpin Ibu Rumah Tangga",2015-02-12,Thursday
"Bahana Securities: IHSG Mix, Cenderung Menguat",2015-02-12,Thursday
Siap-siap Sambut Social Media Week Pertama di Jakarta,2015-02-12,Thursday
IHSG Diprediksi Tertekan Bursa Regional,2015-02-12,Thursday
BCA Dukung Perkembangan Wirausahawan di Konferensi Endeavor Scale-Up 2.0,2015-02-13,Friday
Waterfront Securities: IHSG Diperkirakan Cenderung Menguat,2015-02-13,Friday
Beberapa Hal yang Harus Dilakukan Jika Ingin Sukses Mengembangkan Wirausaha,2015-02-13,Friday
IHSG Masih Bisa Menguat Terbatas,2015-02-13,Friday
Tanggapan BCA untuk Keluhan Bapak Ibnu,2015-02-15,Sunday
Kiwoom Securities: Ada Risiko Profit Taking,2015-02-16,Monday
Bayar Iuran BPJS Ketenagakerjaan Lewat KlikBCA Bisnis? Bisa!,2015-02-16,Monday
Rayakan Kebahagiaan Miliki Rumah Idaman dengan Program Fix & Cap dari KPR BCA,2015-02-16,Monday
Empat Wirausahawan Muda Berbagi Kisah Sukses Mengembangkan Bisnisnya,2015-02-16,Monday
"Bahana Securities: IHSG Mix, Cenderung Menguat",2015-02-16,Monday
Waterfront Securities: IHSG Berpeluang Lanjutkan Kenaikan,2015-02-16,Monday
"Bos BCA Lepas Saham Rp 2,8 Miliar",2015-02-16,Monday
"BCA Untung Rp 16 Triliun di 2014, Naik 12%",2015-02-16,Monday
Bank Ekonomi Segera Keluar dari Pasar Modal,2015-02-16,Monday
"Kejar Penjambret, Mahasiswi Bogor Terluka setelah Terjatuh dari Motor",2015-02-16,Monday
IHSG Diperkirakan Bisa Lanjutkan Penguatan,2015-02-16,Monday
Begini Pandangan Investor Mengenai Kegagalan Scale-Up,2015-02-17,Tuesday
Nikmati Petualangan Seru di Jungle Land Bersama Flazz dan Kartu Kredit BCA,2015-02-17,Tuesday
